iter	Passed	Remaining
0	142	141908
1	143	71737
2	145	48344
3	150	37540
4	152	30382
5	155	25689
6	156	22236
7	158	19648
8	160	17627
9	163	16211
10	166	14946
11	168	13839
12	169	12880
13	171	12062
14	172	11340
15	174	10708
16	175	10154
17	178	9743
18	180	9306
19	182	8923
20	183	8565
21	185	8235
22	186	7928
23	188	7647
24	189	7389
25	192	7222
26	194	7020
27	196	6832
28	197	6626
29	199	6439
30	200	6272
31	202	6115
32	203	5967
33	205	5827
34	208	5754
35	210	5632
36	212	5520
37	213	5415
38	215	5311
39	216	5206
40	218	5108
41	219	5013
42	222	4961
43	224	4886
44	226	4816
45	228	4747
46	230	4670
47	231	4597
48	233	4527
49	234	4456
50	237	4423
51	239	4360
52	240	4304
53	242	4239
54	243	4181
55	244	4125
56	246	4070
57	247	4017
58	248	3963
59	249	3911
60	252	3889
61	254	3848
62	255	3803
63	257	3759
64	258	3713
65	259	3669
66	260	3626
67	261	3577
68	262	3536
69	263	3498
70	264	3459
71	267	3444
72	268	3413
73	270	3378
74	271	3345
75	272	3309
76	273	3273
77	273	3238
78	274	3204
79	275	3169
80	276	3136
81	277	3104
82	278	3072
83	278	3041
84	279	3007
85	280	2978
86	280	2948
87	282	2924
88	283	2902
89	284	2877
90	285	2853
91	286	2828
92	287	2802
93	288	2778
94	289	2755
95	290	2731
96	291	2709
97	291	2686
98	292	2664
99	294	2646
100	295	2627
101	295	2603
102	297	2590
103	298	2570
104	299	2553
105	300	2536
106	301	2517
107	302	2499
108	303	2481
109	304	2463
110	305	2445
111	306	2427
112	307	2410
113	308	2396
114	309	2380
115	310	2364
116	312	2358
117	313	2346
118	314	2331
119	316	2317
120	317	2303
121	318	2291
122	319	2275
123	320	2262
124	321	2248
125	322	2234
126	322	2219
127	323	2203
128	324	2189
129	325	2179
130	326	2167
131	327	2155
132	329	2144
133	329	2131
134	330	2120
135	331	2108
136	332	2096
137	333	2082
138	334	2070
139	334	2057
140	335	2045
141	336	2033
142	337	2021
143	338	2009
144	338	1998
145	339	1988
146	341	1979
147	342	1971
148	343	1960
149	344	1950
150	345	1941
151	346	1931
152	347	1921
153	347	1911
154	348	1900
155	349	1889
156	350	1880
157	350	1870
158	351	1860
159	352	1850
160	353	1841
161	354	1833
162	355	1825
163	356	1819
164	357	1810
165	358	1801
166	359	1793
167	360	1786
168	361	1777
169	362	1769
170	363	1760
171	363	1751
172	364	1743
173	365	1734
174	366	1726
175	366	1717
176	367	1710
177	368	1702
178	369	1695
179	370	1688
180	371	1679
181	372	1673
182	373	1666
183	374	1660
184	375	1652
185	376	1645
186	376	1637
187	377	1630
188	378	1622
189	378	1615
190	379	1608
191	380	1602
192	381	1595
193	382	1588
194	383	1582
195	384	1576
196	385	1571
197	386	1566
198	387	1560
199	388	1554
200	389	1548
201	390	1541
202	391	1535
203	391	1529
204	392	1522
205	393	1516
206	394	1510
207	395	1504
208	395	1498
209	396	1491
210	397	1485
211	398	1479
212	399	1474
213	400	1469
214	401	1465
215	402	1460
216	403	1456
217	404	1451
218	405	1445
219	406	1439
220	406	1434
221	407	1428
222	408	1423
223	409	1418
224	410	1412
225	411	1407
226	411	1402
227	412	1396
228	413	1392
229	414	1388
230	415	1383
231	416	1380
232	417	1375
233	418	1371
234	419	1366
235	420	1360
236	421	1355
237	422	1353
238	423	1349
239	424	1344
240	425	1339
241	425	1334
242	426	1329
243	427	1324
244	428	1319
245	429	1316
246	430	1312
247	431	1309
248	433	1305
249	434	1302
250	435	1298
251	435	1293
252	436	1289
253	437	1285
254	438	1281
255	439	1276
256	440	1272
257	440	1267
258	441	1263
259	442	1259
260	443	1254
261	444	1251
262	445	1248
263	446	1245
264	447	1241
265	448	1237
266	449	1233
267	450	1229
268	451	1227
269	452	1223
270	453	1219
271	454	1215
272	454	1211
273	455	1207
274	456	1203
275	457	1199
276	458	1195
277	459	1192
278	460	1189
279	461	1186
280	462	1183
281	463	1179
282	464	1176
283	465	1172
284	466	1169
285	466	1165
286	467	1161
287	468	1158
288	469	1154
289	469	1150
290	470	1147
291	471	1143
292	472	1139
293	473	1136
294	474	1133
295	475	1130
296	476	1127
297	477	1124
298	478	1121
299	479	1118
300	480	1115
301	481	1112
302	482	1109
303	483	1105
304	483	1102
305	484	1099
306	485	1096
307	486	1093
308	487	1090
309	488	1087
310	489	1085
311	491	1082
312	492	1080
313	493	1077
314	494	1074
315	494	1071
316	495	1067
317	496	1064
318	497	1061
319	497	1058
320	498	1054
321	499	1051
322	500	1048
323	501	1045
324	501	1042
325	502	1039
326	503	1036
327	504	1034
328	505	1031
329	506	1029
330	508	1026
331	508	1023
332	509	1020
333	510	1017
334	511	1014
335	512	1011
336	512	1008
337	513	1005
338	514	1003
339	515	1000
340	516	997
341	516	994
342	517	991
343	518	989
344	520	987
345	521	984
346	521	982
347	523	979
348	523	977
349	524	974
350	525	971
351	526	968
352	527	965
353	527	963
354	528	960
355	529	957
356	529	954
357	530	951
358	531	949
359	532	946
360	533	944
361	534	941
362	535	939
363	536	937
364	537	935
365	538	932
366	539	929
367	539	927
368	540	924
369	541	922
370	542	919
371	543	916
372	543	914
373	544	911
374	545	909
375	546	906
376	547	903
377	547	901
378	549	899
379	550	897
380	551	895
381	552	893
382	553	891
383	554	889
384	555	886
385	555	884
386	556	881
387	557	879
388	558	877
389	559	874
390	559	872
391	560	869
392	561	867
393	562	864
394	563	862
395	564	861
396	565	859
397	566	857
398	567	855
399	568	852
400	569	850
401	570	848
402	571	845
403	571	843
404	572	841
405	573	838
406	574	836
407	574	834
408	575	831
409	576	829
410	577	827
411	578	825
412	579	823
413	580	822
414	581	820
415	583	818
416	583	816
417	584	814
418	585	811
419	586	809
420	587	807
421	587	805
422	588	802
423	589	800
424	589	798
425	590	795
426	591	793
427	592	791
428	593	789
429	594	788
430	595	786
431	596	784
432	597	782
433	598	780
434	599	778
435	600	776
436	601	774
437	601	772
438	602	770
439	603	767
440	604	765
441	604	763
442	605	761
443	606	759
444	607	757
445	608	756
446	609	754
447	610	752
448	611	750
449	612	748
450	613	746
451	614	744
452	615	742
453	615	740
454	616	738
455	617	736
456	618	734
457	618	732
458	619	730
459	620	728
460	621	726
461	622	724
462	623	723
463	624	721
464	625	719
465	626	717
466	627	716
467	628	714
468	629	712
469	629	710
470	630	708
471	631	706
472	632	704
473	632	702
474	633	700
475	634	698
476	635	696
477	635	694
478	636	692
479	637	690
480	638	688
481	640	687
482	640	686
483	642	684
484	642	682
485	643	680
486	644	679
487	645	677
488	646	675
489	646	673
490	647	671
491	648	669
492	649	667
493	650	665
494	650	664
495	651	662
496	652	660
497	653	658
498	654	657
499	655	655
500	656	654
501	657	652
502	658	650
503	659	648
504	660	647
505	660	645
506	661	643
507	662	641
508	663	639
509	663	637
510	664	636
511	665	634
512	666	633
513	668	631
514	669	630
515	670	629
516	671	627
517	674	627
518	675	626
519	676	624
520	677	622
521	678	620
522	679	619
523	679	617
524	680	615
525	681	614
526	682	612
527	683	611
528	685	610
529	686	608
530	687	607
531	688	605
532	689	603
533	689	602
534	690	600
535	691	598
536	692	596
537	693	595
538	694	593
539	694	591
540	695	590
541	696	588
542	697	586
543	698	585
544	699	583
545	700	582
546	702	581
547	703	579
548	703	578
549	704	576
550	705	574
551	706	573
552	707	572
553	709	570
554	710	569
555	711	568
556	713	567
557	715	566
558	717	565
559	718	564
560	720	563
561	722	562
562	724	562
563	726	561
564	727	559
565	729	559
566	730	558
567	732	557
568	733	555
569	735	554
570	737	554
571	739	553
572	741	552
573	743	551
574	744	550
575	746	549
576	748	548
577	749	547
578	750	545
579	753	545
580	754	544
581	756	543
582	758	542
583	759	540
584	760	539
585	761	538
586	762	536
587	764	535
588	765	534
589	768	533
590	769	532
591	770	531
592	772	530
593	774	529
594	775	527
595	776	526
596	777	524
597	778	523
598	780	522
599	782	521
600	784	520
601	785	519
602	786	518
603	788	516
604	789	515
605	790	513
606	791	512
607	792	511
608	793	509
609	795	508
610	796	507
611	797	505
612	799	504
613	800	503
614	801	501
615	802	500
616	803	498
617	804	497
618	805	495
619	805	493
620	806	492
621	807	490
622	808	489
623	808	487
624	810	486
625	811	484
626	812	483
627	813	481
628	814	480
